algoritmo,alcance,set_features,sin_seleccion,n_features,balanceo,config_ganadora,f1_macro_cv,accuracy_D2,precision_macro,recall_macro,f1_macro,f1_weighted,n_test,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,precision_dos,recall_dos,f1_dos,soporte_dos,precision_probe,recall_probe,f1_probe,soporte_probe,precision_r2l,recall_r2l,f1_r2l,soporte_r2l,precision_u2r,recall_u2r,f1_u2r,soporte_u2r,semilla,commit,fecha
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.939226,0.960586,0.763411,0.901153,0.779579,0.965652,9083,50.92,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,48.92,1.653,9083,0.182,5494.5,0.982468,0.995645,0.989013,5741,0.927013,0.999096,0.961706,1106,0.995225,0.853115,0.918707,2199,0.148936,0.756757,0.248889,37,2,df30cb2,2026-08-12T22:31:16
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__learning_rate': 0.05, 'clf__max_iter': 300}",0.960298,0.953319,0.783107,0.834634,0.800625,0.954822,9083,66.33,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,65.906,0.067,9083,0.007335,136335.1,0.99965,0.993729,0.996681,5741,0.745614,0.999096,0.853941,1106,0.991333,0.832196,0.904821,2199,0.395833,0.513514,0.447059,37,2,df30cb2,2026-08-12T22:31:16
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1}",0.963476,0.837719,0.650531,0.680018,0.599725,0.8366,9083,27.25,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,26.981,0.003,9083,0.000364,2745518.9,0.999468,0.981711,0.99051,5741,0.441553,0.997288,0.612098,1106,0.980549,0.389723,0.557761,2199,0.180556,0.351351,0.238532,37,2,df30cb2,2026-08-12T22:40:33
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__max_depth': None, 'clf__n_estimators': 300}",0.976023,0.901795,0.760401,0.798894,0.75466,0.905712,9083,61.2,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,60.816,0.078,9083,0.008633,115832.4,0.999823,0.983627,0.991659,5741,0.564574,1.0,0.721697,1106,0.988835,0.644384,0.780286,2199,0.488372,0.567568,0.525,37,2,df30cb2,2026-08-12T22:40:33
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.949812,0.945943,0.735407,0.887997,0.747879,0.953746,9083,81.39,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,78.523,2.506,9083,0.275892,3624.6,0.990078,0.990768,0.990423,5741,0.844156,0.999096,0.915114,1106,0.994944,0.805366,0.890173,2199,0.11245,0.756757,0.195804,37,2,df30cb2,2026-08-12T22:40:33
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__learning_rate': 0.1, 'clf__max_iter': 100}",0.965864,0.916107,0.694288,0.811668,0.689594,0.928336,9083,135.82,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,135.411,0.042,9083,0.004613,216798.7,0.999472,0.98833,0.993869,5741,0.726974,0.999096,0.841584,1106,0.990879,0.691678,0.814676,2199,0.059829,0.567568,0.108247,37,2,df30cb2,2026-08-12T22:40:33
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,class_weight,"{'max_depth': 20, 'min_samples_leaf': 1}",0.963734,0.914125,0.757542,0.766674,0.744749,0.921134,9083,2.04,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,1.75,0.002,9083,0.000215,4656277.1,0.995337,0.929455,0.961268,5741,0.603392,0.997288,0.751875,1106,0.991439,0.842656,0.911013,2199,0.44,0.297297,0.354839,37,3,df30cb2,2026-08-12T22:47:17
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.966602,0.939007,0.805002,0.798775,0.788945,0.940492,9083,53.94,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,53.627,0.033,9083,0.003601,277675.0,0.999825,0.996865,0.998343,5741,0.680197,1.0,0.809663,1106,0.988263,0.765803,0.862926,2199,0.551724,0.432432,0.484848,37,3,df30cb2,2026-08-12T22:47:17
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.935609,0.960255,0.76283,0.901163,0.776273,0.96625,9083,50.91,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,48.856,1.705,9083,0.187751,5326.2,0.982791,0.994774,0.988747,5741,0.938031,0.999096,0.967601,1106,0.995231,0.854025,0.919236,2199,0.135266,0.756757,0.229508,37,3,df30cb2,2026-08-12T22:47:17
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__learning_rate': 0.1, 'clf__max_iter': 100}",0.962823,0.949686,0.784139,0.837708,0.801507,0.95132,9083,79.37,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,79.008,0.036,9083,0.004002,249865.2,0.999649,0.993555,0.996593,5741,0.729071,1.0,0.843309,1106,0.99117,0.816735,0.895537,2199,0.416667,0.540541,0.470588,37,3,df30cb2,2026-08-12T22:47:17
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,class_weight,"{'max_depth': 10, 'min_samples_leaf': 1}",0.967595,0.902785,0.745484,0.760212,0.737215,0.911278,9083,3.15,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,2.856,0.005,9083,0.000522,1916972.7,0.995662,0.919526,0.956081,5741,0.573681,0.953888,0.716469,1106,0.968146,0.843111,0.901313,2199,0.444444,0.324324,0.375,37,3,df30cb2,2026-08-12T22:55:57
RandomForest,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,class_weight,"{'max_depth': None, 'n_estimators': 100}",0.966761,0.894418,0.790708,0.773292,0.750705,0.896247,9083,11.71,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,11.325,0.046,9083,0.005038,198482.2,0.999825,0.995297,0.997556,5741,0.543489,1.0,0.704234,1106,0.986186,0.584357,0.733866,2199,0.633333,0.513514,0.567164,37,3,df30cb2,2026-08-12T22:55:57
KNN,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.946074,0.953209,0.75292,0.894897,0.761044,0.961449,9083,87.17,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,84.262,2.52,9083,0.277446,3604.3,0.983423,0.991987,0.987686,5741,0.924623,0.998192,0.96,1106,0.995109,0.832651,0.90666,2199,0.108527,0.756757,0.189831,37,3,df30cb2,2026-08-12T22:55:57
HistGradientBoosting,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,122_sin_seleccion,True,122,SMOTE,"{'clf__learning_rate': 0.1, 'clf__max_iter': 100}",0.970298,0.915006,0.69509,0.822947,0.705974,0.920025,9083,165.24,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,164.798,0.05,9083,0.005557,179956.9,0.999473,0.990768,0.995101,5741,0.6382,1.0,0.779148,1106,0.991374,0.6794,0.80626,2199,0.151316,0.621622,0.243386,37,3,df30cb2,2026-08-12T22:55:57
DecisionTree,multiclase 4 categorías de ataque sobre los ataques de D2 de tipo conocido,54,False,54,SMOTE,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1}",0.956377,0.874491,0.648896,0.737672,0.642303,0.889833,9083,17.7,'tiempo_s' = el bloque completo del algoritmo. Sus tres tramos en orden de ejecución: (1) el GridSearchCV con el balanceo ganador + el refit sobre todo D3 = 'tiempo_entrenamiento_s' (2) el predict sobre los flujos de D2 de tipo conocido = 'tiempo_inferencia_s' y (3) la cola de evaluar_multiclase + UNA figura —la matriz de confusión 4x4—. El (3) no lleva columna propia porque sale EXACTO restando de 'tiempo_s' las otras dos columnas de tiempo —salvo dos menudencias que caen en la misma ventana: leer busqueda.best_estimator_ y dos print—. NO incluye el mini-experimento de balanceo de 4.3.4 que corre antes y se publica en metricas_balanceo.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,17.426,0.002,9083,0.00026,3846121.2,0.999068,0.933113,0.964964,5741,0.550349,0.998192,0.709512,1106,0.989892,0.668031,0.797719,2199,0.056277,0.351351,0.097015,37,4,df30cb2,2026-08-12T23:01:54
